Compund,dG (kJ/mol)
MNXM10,-2235.984147
MNXM13,-386
MNXM8,-2263.894498
MNXM210,-323.2487995
MNXM2434,207.7049965
MNXM1,-32.71924356
MNXM2,-237.2
