0-0-012-0
0-0-016-0
0-0-017-0
0-0-024-0
0-0-025-0
0-0-026-0
0-0-027-0
0-0-029-0
0-0-035-0
0-0-053-0
0-0-06-4
0-0-08-2
0-0-080-0
0-0-09-0
0-1-016-0
0-1-034-0
0-4-07-0
1-1-016-0
1-1-016-1
1-1-017-0
1-1-027-0
1-1-035-0
1-1-053-0
1-1-06-3
1-1-07-2
1-1-08-0
1-1-08-1
1-1-09-0
1-2-016-0
1-2-034-0
1-2-06-2
1-2-07-0
1-2-07-1
1-2-08-0
1-3-06-1
1-3-07-0
1-3-08-0
1-4-07-0
2-2-012-0
2-2-016-0
2-2-017-0
2-2-026-0
2-2-034-0
2-2-06-2
2-2-07-0
2-2-07-1
2-2-08-0
2-3-015-0
2-3-026-0
2-3-06-0
2-3-06-1
2-3-07-0
2-3-08-0
2-4-06-0
2-4-07-0
3-3-016-0
3-3-017-0
3-3-033-0
3-3-034-0
3-3-06-0
3-3-06-1
3-3-07-0
3-4-016-0
3-4-034-0
3-4-052-0
3-4-06-0
3-4-07-0
3-5-015-0
4-4-012-0
4-4-026-0
4-4-027-0
4-4-06-0
4-4-07-0
4-5-015-0
4-5-033-0
4-6-016-0
4-6-034-0
4-6-042-0
4-6-052-0
5-5-027-0
6-6-026-0
6-6-027-0
